display_name,email,phone,locale,tier_slug,group_slugs,source,external_id
สมชาย ใจดี,customer001@example.test,+66810000001,th,,,csv,example-crm-001
สมชาย ศรีสุข,customer002@example.test,+66810000002,th,,,csv,example-crm-002
สมชาย วัฒนกุล,customer003@example.test,+66810000003,th,,,csv,example-crm-003
สมชาย พงษ์ไพศาล,customer004@example.test,+66810000004,th,,,csv,example-crm-004
สมชาย จันทร์เพ็ญ,customer005@example.test,+66810000005,th,,,csv,example-crm-005
สมหญิง ใจดี,customer006@example.test,+66810000006,th,,,csv,example-crm-006
สมหญิง ศรีสุข,customer007@example.test,+66810000007,th,,,csv,example-crm-007
สมหญิง วัฒนกุล,customer008@example.test,+66810000008,th,,,csv,example-crm-008
สมหญิง พงษ์ไพศาล,customer009@example.test,+66810000009,th,,,csv,example-crm-009
สมหญิง จันทร์เพ็ญ,customer010@example.test,+66810000010,th,,,csv,example-crm-010
อนันต์ ใจดี,customer011@example.test,+66810000011,th,,,csv,example-crm-011
อนันต์ ศรีสุข,customer012@example.test,+66810000012,th,,,csv,example-crm-012
อนันต์ วัฒนกุล,customer013@example.test,+66810000013,th,,,csv,example-crm-013
อนันต์ พงษ์ไพศาล,customer014@example.test,+66810000014,th,,,csv,example-crm-014
อนันต์ จันทร์เพ็ญ,customer015@example.test,+66810000015,th,,,csv,example-crm-015
พิมพ์ชนก ใจดี,customer016@example.test,+66810000016,th,,,csv,example-crm-016
พิมพ์ชนก ศรีสุข,customer017@example.test,+66810000017,th,,,csv,example-crm-017
พิมพ์ชนก วัฒนกุล,customer018@example.test,+66810000018,th,,,csv,example-crm-018
พิมพ์ชนก พงษ์ไพศาล,customer019@example.test,+66810000019,th,,,csv,example-crm-019
พิมพ์ชนก จันทร์เพ็ญ,customer020@example.test,+66810000020,th,,,csv,example-crm-020
ธนา ใจดี,customer021@example.test,+66810000021,th,,,csv,example-crm-021
ธนา ศรีสุข,customer022@example.test,+66810000022,th,,,csv,example-crm-022
ธนา วัฒนกุล,customer023@example.test,+66810000023,th,,,csv,example-crm-023
ธนา พงษ์ไพศาล,customer024@example.test,+66810000024,th,,,csv,example-crm-024
ธนา จันทร์เพ็ญ,customer025@example.test,+66810000025,th,,,csv,example-crm-025
ณัฐชา ใจดี,customer026@example.test,+66810000026,th,,,csv,example-crm-026
ณัฐชา ศรีสุข,customer027@example.test,+66810000027,th,,,csv,example-crm-027
ณัฐชา วัฒนกุล,customer028@example.test,+66810000028,th,,,csv,example-crm-028
ณัฐชา พงษ์ไพศาล,customer029@example.test,+66810000029,th,,,csv,example-crm-029
ณัฐชา จันทร์เพ็ญ,customer030@example.test,+66810000030,th,,,csv,example-crm-030
กิตติ ใจดี,customer031@example.test,+66810000031,th,,,csv,example-crm-031
กิตติ ศรีสุข,customer032@example.test,+66810000032,th,,,csv,example-crm-032
กิตติ วัฒนกุล,customer033@example.test,+66810000033,th,,,csv,example-crm-033
กิตติ พงษ์ไพศาล,customer034@example.test,+66810000034,th,,,csv,example-crm-034
กิตติ จันทร์เพ็ญ,customer035@example.test,+66810000035,th,,,csv,example-crm-035
ศิริพร ใจดี,customer036@example.test,+66810000036,th,,,csv,example-crm-036
ศิริพร ศรีสุข,customer037@example.test,+66810000037,th,,,csv,example-crm-037
ศิริพร วัฒนกุล,customer038@example.test,+66810000038,th,,,csv,example-crm-038
ศิริพร พงษ์ไพศาล,customer039@example.test,+66810000039,th,,,csv,example-crm-039
ศิริพร จันทร์เพ็ญ,customer040@example.test,+66810000040,th,,,csv,example-crm-040
วรพล ใจดี,customer041@example.test,+66810000041,th,,,csv,example-crm-041
วรพล ศรีสุข,customer042@example.test,+66810000042,th,,,csv,example-crm-042
วรพล วัฒนกุล,customer043@example.test,+66810000043,th,,,csv,example-crm-043
วรพล พงษ์ไพศาล,customer044@example.test,+66810000044,th,,,csv,example-crm-044
วรพล จันทร์เพ็ญ,customer045@example.test,+66810000045,th,,,csv,example-crm-045
ชลธิชา ใจดี,customer046@example.test,+66810000046,th,,,csv,example-crm-046
ชลธิชา ศรีสุข,customer047@example.test,+66810000047,th,,,csv,example-crm-047
ชลธิชา วัฒนกุล,customer048@example.test,+66810000048,th,,,csv,example-crm-048
ชลธิชา พงษ์ไพศาล,customer049@example.test,+66810000049,th,,,csv,example-crm-049
ชลธิชา จันทร์เพ็ญ,customer050@example.test,+66810000050,th,,,csv,example-crm-050
Olivia Carter,customer051@example.test,+66810000051,en,,,csv,example-crm-051
Olivia Patel,customer052@example.test,+66810000052,en,,,csv,example-crm-052
Olivia Garcia,customer053@example.test,+66810000053,en,,,csv,example-crm-053
Olivia Nguyen,customer054@example.test,+66810000054,en,,,csv,example-crm-054
Olivia Williams,customer055@example.test,+66810000055,en,,,csv,example-crm-055
Liam Carter,customer056@example.test,+66810000056,en,,,csv,example-crm-056
Liam Patel,customer057@example.test,+66810000057,en,,,csv,example-crm-057
Liam Garcia,customer058@example.test,+66810000058,en,,,csv,example-crm-058
Liam Nguyen,customer059@example.test,+66810000059,en,,,csv,example-crm-059
Liam Williams,customer060@example.test,+66810000060,en,,,csv,example-crm-060
Emma Carter,customer061@example.test,+66810000061,en,,,csv,example-crm-061
Emma Patel,customer062@example.test,+66810000062,en,,,csv,example-crm-062
Emma Garcia,customer063@example.test,+66810000063,en,,,csv,example-crm-063
Emma Nguyen,customer064@example.test,+66810000064,en,,,csv,example-crm-064
Emma Williams,customer065@example.test,+66810000065,en,,,csv,example-crm-065
Noah Carter,customer066@example.test,+66810000066,en,,,csv,example-crm-066
Noah Patel,customer067@example.test,+66810000067,en,,,csv,example-crm-067
Noah Garcia,customer068@example.test,+66810000068,en,,,csv,example-crm-068
Noah Nguyen,customer069@example.test,+66810000069,en,,,csv,example-crm-069
Noah Williams,customer070@example.test,+66810000070,en,,,csv,example-crm-070
Amelia Carter,customer071@example.test,+66810000071,en,,,csv,example-crm-071
Amelia Patel,customer072@example.test,+66810000072,en,,,csv,example-crm-072
Amelia Garcia,customer073@example.test,+66810000073,en,,,csv,example-crm-073
Amelia Nguyen,customer074@example.test,+66810000074,en,,,csv,example-crm-074
Amelia Williams,customer075@example.test,+66810000075,en,,,csv,example-crm-075
Ethan Carter,customer076@example.test,+66810000076,en,,,csv,example-crm-076
Ethan Patel,customer077@example.test,+66810000077,en,,,csv,example-crm-077
Ethan Garcia,customer078@example.test,+66810000078,en,,,csv,example-crm-078
Ethan Nguyen,customer079@example.test,+66810000079,en,,,csv,example-crm-079
Ethan Williams,customer080@example.test,+66810000080,en,,,csv,example-crm-080
Sophia Carter,customer081@example.test,+66810000081,en,,,csv,example-crm-081
Sophia Patel,customer082@example.test,+66810000082,en,,,csv,example-crm-082
Sophia Garcia,customer083@example.test,+66810000083,en,,,csv,example-crm-083
Sophia Nguyen,customer084@example.test,+66810000084,en,,,csv,example-crm-084
Sophia Williams,customer085@example.test,+66810000085,en,,,csv,example-crm-085
Lucas Carter,customer086@example.test,+66810000086,en,,,csv,example-crm-086
Lucas Patel,customer087@example.test,+66810000087,en,,,csv,example-crm-087
Lucas Garcia,customer088@example.test,+66810000088,en,,,csv,example-crm-088
Lucas Nguyen,customer089@example.test,+66810000089,en,,,csv,example-crm-089
Lucas Williams,customer090@example.test,+66810000090,en,,,csv,example-crm-090
Mia Carter,customer091@example.test,+66810000091,en,,,csv,example-crm-091
Mia Patel,customer092@example.test,+66810000092,en,,,csv,example-crm-092
Mia Garcia,customer093@example.test,+66810000093,en,,,csv,example-crm-093
Mia Nguyen,customer094@example.test,+66810000094,en,,,csv,example-crm-094
Mia Williams,customer095@example.test,+66810000095,en,,,csv,example-crm-095
Daniel Carter,customer096@example.test,+66810000096,en,,,csv,example-crm-096
Daniel Patel,customer097@example.test,+66810000097,en,,,csv,example-crm-097
Daniel Garcia,customer098@example.test,+66810000098,en,,,csv,example-crm-098
Daniel Nguyen,customer099@example.test,+66810000099,en,,,csv,example-crm-099
Daniel Williams,customer100@example.test,+66810000100,en,,,csv,example-crm-100
